BIL,State,Education District,School Level,Type of School,School Code,School Name,Correspondence Address,Poscode,City,Urban/Rural,Gov/Gov Aided,Enrollment,N. of Teachers,PreSchool,Integration,X Cood,Y Cood,Student:Teacher Ratio
3473,Johor,Ppd Johor Bahru,Rendah,SK,JBA1001,Sekolah Kebangsaan Ayer Molek,438 Jalan Ayer Molek,80000,Johor Bahru,Bandar,Kerajaan,146.0,16.0,Ada,Tiada,103.757902979851,1.4624658394825,9.125
3474,Johor,Ppd Johor Bahru,Rendah,SK,JBA1003,Sekolah Kebangsaan Pengkalan Rinting,"Batu 5 , Tampoi",81200,Johor Bahru,Bandar,Kerajaan,790.0,60.0,Ada,Tiada,103.704205155373,1.49353693642997,13.167
3475,Johor,Ppd Johor Bahru,Rendah,SK,JBA1004,Sekolah Kebangsaan Tanjung Puteri,Jalan Geroda Larkin,80350,Johor Bahru,Bandar,Kerajaan,619.0,45.0,Ada,Tiada,103.749276995659,1.49820775221425,13.756
3476,Johor,Ppd Johor Bahru,Rendah,SK,JBA1008,Sekolah Kebangsaan (P) Bandar Tinggi,Jkr 682 Jln Abdul Rahman Andak,80100,Johor Bahru,Bandar,Kerajaan,153.0,28.0,Ada,Ada,103.757307529449,1.46694902763671,5.464
3477,Johor,Ppd Johor Bahru,Rendah,SK,JBA1010,Sekolah Kebangsaan Mohd Khir Johari,"Jalan Sekolah, Kampung Melayu Majidi",81100,Johor Bahru,Bandar,Kerajaan,1215.0,81.0,Ada,Tiada,103.752849698067,1.51328192427174,15.0
3478,Johor,Ppd Johor Bahru,Rendah,SK,JBA1011,Sekolah Kebangsaan Angkatan Tentera,Jalan Balau Kebun Teh,80250,Johor Bahru,Bandar,Kerajaan,346.0,32.0,Ada,Tiada,103.761518597603,1.48901090110111,10.812
3479,Johor,Ppd Johor Bahru,Rendah,SK,JBA1012,Sekolah Kebangsaan Majidi Baru,Jalan Cempaka Majidi Bahru,81100,Johor Bahru,Bandar,Kerajaan,1074.0,72.0,Ada,Ada,103.762575387955,1.50864331609091,14.917
3480,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1013,Sekolah Kebangsaan Senibong,"Jalan Permas 16,  Permas Jaya",81750,Masai,Bandar,Kerajaan,54.0,13.0,Ada,Tiada,103.822404742241,1.49029256370862,4.154
3481,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1014,Sekolah Kebangsaan Kopok,"Jalan Hijrah Utama, Kampung Kopok Baru",81700,Pasir Gudang,Bandar,Kerajaan,923.0,66.0,Ada,Ada,103.925412297249,1.51240782892136,13.985
3482,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1015,Sekolah Kebangsaan Cahaya Baru,"Jalan Perak, Kampung Cahaya Baru",81760,Masai,Bandar,Kerajaan,887.0,64.0,Ada,Tiada,103.934327960014,1.52447889360319,13.859
3483,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1016,Sekolah Kebangsaan Masai,Jalan Tengah,81750,Masai,Bandar,Kerajaan,711.0,48.0,Tiada,Tiada,103.884047269821,1.48896800024779,14.812
3484,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1017,Sekolah Kebangsaan Pasir Puteh,Kg. Pasir Puteh,81700,Pasir Gudang,Luar Bandar,Kerajaan,730.0,50.0,Ada,Tiada,103.930701613426,1.43573276820066,14.6
3485,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1018,Sekolah Kebangsaan Kongkong Laut,Kg. Kongkong Laut,81760,Masai,Bandar,Kerajaan,122.0,16.0,Ada,Tiada,103.996319174767,1.5162742234776,7.625
3486,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1019,Sekolah Kebangsaan Pasir Gudang (1),Jalan 10/19 Taman Air Biru,81700,Pasir Gudang,Bandar,Kerajaan,717.0,52.0,Ada,Tiada,103.908230066299,1.45947346728398,13.788
3487,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1020,Sekolah Kebangsaan Tanjong Langsat,Peti Surat 16,81757,Masai,Bandar,Kerajaan,90.0,15.0,Ada,Tiada,104.006313085556,1.47020952247164,6.0
3488,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1021,Sekolah Kebangsaan Sungai Tiram,Ps 03,81800,Ulu Tiram,Bandar,Kerajaan,1228.0,75.0,Ada,Tiada,103.879771828651,1.58516029538754,16.373
3489,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1023,Sekolah Kebangsaan Ulu Tiram,Batu 13 Jalan Sungai Tiram,81800,Ulu Tiram,Bandar,Kerajaan,893.0,69.0,Ada,Ada,103.822849988937,1.59998181941276,12.942
3490,Johor,Ppd Johor Bahru,Rendah,SK,JBA1024,Sekolah Kebangsaan Kg. Maju Jaya,Jkr 2854 Jalan Kempas Lama,81300,Johor Bahru,Bandar,Kerajaan,831.0,54.0,Ada,Tiada,103.718431591988,1.57993198278375,15.389
3491,Johor,Ppd Johor Bahru,Rendah,SK,JBA1026,Sekolah Kebangsaan Tebrau Bakar Batu,"Jalan Sekolah, Kg Bakar Batu",80150,Johor Bahru,Bandar,Kerajaan,602.0,41.0,Ada,Tiada,103.783314228058,1.4978430964605,14.683
3492,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1027,Sekolah Kebangsaan (Felda ) Ulu Tebrau,"Jkr 3196 Felda Ulu Tebrau, Ulu Tiram",81810,Johor Bahru,Luar Bandar,Kerajaan,528.0,49.0,Ada,Ada,103.754163980484,1.63205364223247,10.776
3493,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1028,Sekolah Kebangsaan Kangka Tebrau,Jln. Pinang,81100,Johor Bahru,Bandar,Kerajaan,609.0,56.0,Ada,Ada,103.755751848221,1.53218482001414,10.875
3494,Johor,Ppd Johor Bahru,Rendah,SK,JBA1029,Sekolah Kebangsaan Gelang Patah,Jkr 4490 Jalan Terong,81550,Gelang Patah,Bandar,Kerajaan,607.0,44.0,Ada,Tiada,103.588591217995,1.44858720514481,13.795
3495,Johor,Ppd Johor Bahru,Rendah,SK,JBA1030,Sekolah Kebangsaan Sekudai Bt 10,"Jalan Kepar, Skudai",81300,Johor Bahru,Bandar,Kerajaan,382.0,31.0,Ada,Tiada,103.660195469856,1.53913460878914,12.323
3496,Johor,Ppd Johor Bahru,Rendah,SK,JBA1031,Sekolah Kebangsaan Sungai Melayu,"Jalan Sekolah, Kampung Sungai Melayu",80200,Johor Bahru,Bandar,Kerajaan,95.0,13.0,Ada,Tiada,103.69620680809,1.45286663859173,7.308
3497,Johor,Ppd Johor Bahru,Rendah,SK,JBA1032,Sekolah Kebangsaan Sikijang,"Kampung Tebing Runtoh, Iskandar Puteri",79100,Iskandar Puteri,Luar Bandar,Kerajaan,42.0,10.0,Tiada,Tiada,103.664696216583,1.43090093984318,4.2
3498,Johor,Ppd Johor Bahru,Rendah,SK,JBA1033,Sekolah Kebangsaan Ladang Pendas,Jalan Pendas,81550,Johor Bahru,Luar Bandar,Kerajaan,77.0,12.0,Tiada,Tiada,103.592485785484,1.42486248077685,6.417
3499,Johor,Ppd Johor Bahru,Rendah,SK,JBA1034,Sekolah Kebangsaan Pendas Laut,Jalan Kurnia 1 Kg Ladang,81560,Gelang Patah,Luar Bandar,Kerajaan,86.0,13.0,Ada,Tiada,103.628443479538,1.37446272384046,6.615
3500,Johor,Ppd Johor Bahru,Rendah,SK,JBA1035,Sekolah Kebangsaan Kg Pasir,2487 Jalan Skudai,81200,Johor Bahru,Bandar,Kerajaan,712.0,54.0,Ada,Tiada,103.697499632835,1.49873328539964,13.185
3501,Johor,Ppd Johor Bahru,Rendah,SK,JBA1036,Sekolah Kebangsaan Sri Skudai,Taman Sri Skudai,81300,Skudai,Bandar,Kerajaan,771.0,59.0,Ada,Ada,103.652101,1.548181,13.068
3502,Johor,Ppd Johor Bahru,Rendah,SK,JBA1037,Sekolah Kebangsaan Seri Kenanga,"Jkr 5203, Jalan Kacung, Tampoi",81200,Johor Bahru,Bandar,Kerajaan,652.0,43.0,Ada,Tiada,103.703148365021,1.51009120641288,15.163
3503,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1038,Sekolah Kebangsaan Pasir Gudang (2),"Jalan 10/1, Perjiranan 10",81700,Pasir Gudang,Bandar,Kerajaan,268.0,39.0,Ada,Ada,103.906469,1.456508,6.872
3504,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1039,Sekolah Kebangsaan Pasir Gudang 3,Jalan 9/7,81700,Pasir Gudang,Bandar,Kerajaan,865.0,63.0,Ada,Ada,103.916414,1.458567,13.73
3505,Johor,Ppd Johor Bahru,Rendah,SK,JBA1045,Sekolah Kebangsaan Tiram Duku,Kampung Tiram Duku,81560,Gelang Patah,Luar Bandar,Kerajaan,220.0,17.0,Ada,Tiada,103.565856814384,1.38146662775348,12.941
3506,Johor,Ppd Johor Bahru,Rendah,SK,JBA1046,Sekolah Kebangsaan Tanjong Adang,Jkr 5205,81560,Gelang Patah,Luar Bandar,Kerajaan,108.0,16.0,Ada,Tiada,103.565073609352,1.35451811039018,6.75
3507,Johor,Ppd Johor Bahru,Rendah,SK,JBA1047,Sekolah Kebangsaan Morni Pok,"Jalan Paya Mengkuang, Kampong Pok",81560,Gelang Patah,Luar Bandar,Kerajaan,247.0,25.0,Ada,Tiada,103.587872385979,1.35992928965825,9.88
3508,Johor,Ppd Johor Bahru,Rendah,SK,JBA1048,Sekolah Kebangsaan Tg Kupang,Kg. Tanjung Kupang,81560,Gelang Patah,Luar Bandar,Kerajaan,87.0,17.0,Ada,Tiada,103.612425327301,1.3600794510509,5.118
3509,Johor,Ppd Johor Bahru,Rendah,SK,JBA1049,Sekolah Kebangsaan Kempas,"Jln. Lurah 15, Kg Kempas Baru",81200,Johor Bahru,Bandar,Kerajaan,1241.0,81.0,Ada,Tiada,103.716586232185,1.52735856453688,15.321
